序号,变量名,数据类型,隐藏初始值,初始值,掉电保持,网络公开,注释,软元件地址,
,Retain_CondDefaultParam.SeatTwist.arVelocity[12],REAL,,0.000000,,,,,
,Retain_CondDefaultParam.SeatTwist.arVelocity[13],REAL,,0.000000,,,,,
,Retain_CondDefaultParam.SeatTwist.arVelocity[14],REAL,,0.000000,,,,,
,Retain_CondDefaultParam.SeatTwist.arVelocity[15],REAL,,0.000000,,,,,
,Retain_CondDefaultParam.SeatTwist.rAcc,REAL,,0.000000,,,"(* 加速度：运动加速阶段的加速度       ?? 必须 > 0，否则运动异常！       单位：用户单位/秒2 *)",,
,Retain_CondDefaultParam.SeatTwist.rDec,REAL,,0.000000,,,"  (* 减速度：运动减速阶段的减速度       ?? 必须 > 0，否则运动异常！       单位：用户单位/秒2 *)",,
,Retain_CondDefaultParam.SeatTwist.rInitialPosition,REAL,,0.000000,,,"初始位置：运动开始前的参考位置       用于某些需要回原点的场景       单位：用户单位",,
,Retain_CondDefaultParam.SeatTwist.rReserved,REAL,,0.000000,,,,,
,Retain_CondDefaultParam.SeatTwist.iVelocityMode,INT,,0,,,"速度切换模式 (* 速度模式：       0 = 各段使用独立速度（arVelocity 数组）       1 = 所有段使用 arVelocity[0] 的速度 *)",,
,Retain_CondDefaultParam.SeatTwist.iCycleModeLen,INT,,0,,," 方向数组有效长度：abCycleMode 的有效元素个数       范围：1 ~ 16       例如 iCycleModeLen=2 时，方向按 [0,1,0,1...] 循环",,
,Retain_CondDefaultParam.SeatTwist.iCycleCount,INT,,0,,,"循环次数：该轴独立的循环次数设置       -1 = 使用 Stru_工作参数.iCycleCount 全局值       ≥0 = 使用此独立值       一次循环 = 执行完 arPosition 全部段",,
,Retain_CondDefaultParam.SeatTwist.iSignalMode,INT,,0,,,"信号模式：该轴独立的信号触发模式       -1 = 使用 Stru_工作参数.iSignalMode 全局值       0  = 点动模式：每次循环都需要信号触发       1  = 连动模式：首次需要信号，后续自动执行",,
,Retain_CondDefaultParam.SeatTwist.iSegmentCount,INT,,0,,,"运动段数：arPosition/arVelocity 的有效元素个数       范围：1 ~ 16       ?? 必须 > 0，否则报错 1005",,
,Retain_CondDefaultParam.SeatTwist.iPadInt,INT,,0,,,,,
,Retain_CondDefaultParam.SeatTwist.bEnabled,BOOL,,OFF,,,"轴使能：是否启用此轴的往复运动       TRUE  = 启用，参与联动       FALSE = 禁用，不执行运动（用于 2 轴联动场景）",,
,Retain_CondDefaultParam.SeatTwist.bOneWay,BOOL,,OFF,,,单向还是多向,,
,Retain_CondDefaultParam.SeatTwist.abCycleMode,BOOL[16],,...,,,"方向模式数组：定义每个循环周期的方向       FALSE = 正向（使用 arPosition 原值）       TRUE  = 反向（使用 -arPosition）       示例：[FALSE, TRUE] 表示第1次正向，第2次反",,
,Retain_CondDefaultParam.SeatTwist.abCycleMode[0],BOOL,,OFF,,,,,
